"House","Serial number","Name","Date (Europe/Paris)","Value (Wh)"
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 03:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 04:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 04:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 05:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 05:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 06:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 06:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 07:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 07:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 08:00:00",7
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 08:30:00",10
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 09:00:00",17
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 09:30:00",24
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 10:00:00",21
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 10:30:00",29
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 11:00:00",72
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 11:30:00",70
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 12:00:00",68
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 12:30:00",108
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 13:00:00",112
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 13:30:00",134
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 14:00:00",99
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 14:30:00",46
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 15:00:00",45
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 15:30:00",55
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 16:00:00",68
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 16:30:00",50
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 17:00:00",26
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 17:30:00",36
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 18:00:00",42
